1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
289	-0.963541	278.843956	0.011837	4.4
290	-0.000000	278.415844	0.000000	4.9
291	-0.622453	277.989479	0.007779	4.8
292	-0.609382	277.564851	0.007227	4.8
293	-0.993661	277.141949	0.007840	5.2
294	-0.591900	276.720761	0.009887	4.3
295	-0.078828	276.301275	0.004757	4.9
296	-0.876386	275.883480	0.010534	5.4
297	-0.917821	275.467366	0.003323	4.5
298	-0.692503	275.052922	0.004377	4.8
299	-0.690666	274.640136	0.007138	4.4
300	-0.585027	274.228998	0.007375	4.7
301	-1.193066	273.819497	0.007712	4.1
302	-1.172067	273.411623	0.007609	4.3
303	-1.334450	273.005365	0.007339	4.6
304	-0.052779	272.600712	0.001525	4.4
305	-0.788016	272.197655	0.011951	4.1
306	-0.259450	271.796184	0.006269	3.7
307	-1.264756	271.396287	0.007720	4.5
308	-0.079014	270.997956	0.001863	3.9
309	-1.393152	270.601180	0.010274	6.3
310	-0.000000	270.205949	0.000000	4.3
311	-0.092011	269.812254	0.002340	4.1
312	-0.444731	269.420085	0.009154	4.4
313	-0.291774	269.029432	0.004086	3.8
314	-0.672919	268.640287	0.005033	4.2
315	-0.920323	268.252638	0.014306	4.1
316	-0.595635	267.866478	0.013870	4.8
317	-1.120090	267.481796	0.007334	4.6
318	-1.272170	267.098584	0.022557	4.1
319	-1.006930	266.716833	0.008702	4.9
320	-0.005662	266.336533	0.000250	4.5
321	-1.020504	265.957676	0.014048	3.6
322	-0.000000	265.580253	0.000000	4.6
323	-0.398409	265.204254	0.004862	4.9
324	-0.000000	264.829672	0.000000	4.6
325	-0.597285	264.456497	0.016835	4.5
326	-0.000002	264.084721	0.000000	4.2
327	-0.818889	263.714335	0.011385	4.2
328	-0.742205	263.345332	0.004469	3.7
329	-0.696640	262.977702	0.006337	4.5
330	-0.001386	262.611438	0.000226	4.3
331	-0.678986	262.246531	0.010646	4.9
332	-0.812821	261.882973	0.010552	4.2
333	-0.812294	261.520756	0.004674	4.3
334	-0.000499	261.159871	0.000081	3.3
335	-0.494136	260.800312	0.009847	5.0
336	-0.634644	260.442070	0.010598	4.3
337	-0.741097	260.085137	0.008714	4.2
338	-1.145433	259.729505	0.010555	4.7
339	-1.084184	259.375167	0.009109	4.6
340	-1.345498	259.022116	0.024739	4.2
341	-0.856341	258.670343	0.011293	4.9
342	-0.000000	258.319841	0.000000	4.1
343	-1.256766	257.970602	0.019133	4.2
344	-0.000051	257.622620	0.000011	4.1
345	-0.896316	257.275887	0.013280	4.7
346	-1.261357	256.930396	0.009709	4.3
347	-1.517173	256.586139	0.010157	4.1
348	-0.000000	256.243109	0.000000	4.4
349	-1.243233	255.901300	0.012836	4.4
350	-0.898668	255.560703	0.020500	4.0
351	-1.189526	255.221313	0.008612	4.0
352	-0.630942	254.883122	0.007269	4.3
353	-1.217271	254.546124	0.010499	4.4
354	-0.458442	254.210311	0.008339	3.8
355	-0.014493	253.875677	0.001386	3.6
356	-0.420669	253.542215	0.005487	3.5
357	-1.088687	253.209918	0.012422	4.5
358	-0.706363	252.878781	0.008918	4.0
359	-0.000000	252.548795	0.000000	4.4
360	-0.837930	252.219956	0.005729	4.5
361	-0.711704	251.892255	0.005315	4.3
362	-0.004267	251.565688	0.000344	4.6
363	-1.213324	251.240247	0.014777	4.6
364	-0.354781	250.915926	0.007075	4.6
365	-1.051197	250.592720	0.007113	3.3
366	-0.149468	250.270621	0.002112	4.5
367	-0.576000	249.949624	0.006439	4.9
368	-0.651400	249.629723	0.010840	4.7
369	-0.741927	249.310911	0.006069	5.0
370	-0.000249	248.993182	0.000054	4.5
371	-0.524127	248.676531	0.004683	4.9
372	-0.000000	248.360952	0.000000	5.1
373	-1.042024	248.046438	0.010426	4.8
374	-1.492641	247.732984	0.010311	6.5
375	-1.297405	247.420584	0.010075	4.8
376	-0.760314	247.109233	0.005787	4.2
377	-0.000000	246.798924	0.000000	5.2
378	-0.786661	246.489652	0.009285	4.5
379	-0.000041	246.181412	0.000010	4.2
380	-0.507968	245.874197	0.007684	4.7
381	-1.368414	245.568002	0.010573	4.9
382	-1.457475	245.262822	0.021907	4.7
383	-0.141477	244.958652	0.003312	4.9
384	-1.401162	244.655485	0.005096	5.6
385	-0.666972	244.353317	0.012412	4.8
386	-0.000002	244.052142	0.000001	5.0
387	-0.296385	243.751955	0.003768	5.8
388	-0.016912	243.452750	0.000639	4.6
389	-0.000000	243.154523	0.000000	5.4
390	-0.545463	242.857268	0.014804	4.8
391	-1.315043	242.560980	0.013102	4.8
392	-0.808371	242.265654	0.009140	4.8
393	-0.006780	241.971285	0.000457	5.3
394	-1.185630	241.677868	0.011584	4.4
395	-1.389871	241.385397	0.008073	5.3
396	-1.077902	241.093869	0.010167	4.9
397	-0.000000	240.803278	0.000000	4.3
398	-1.186130	240.513619	0.009592	4.5
399	-0.017475	240.224887	0.000773	4.5
400	-0.141848	239.937077	0.002275	4.6
401	-0.004774	239.650186	0.000658	4.5
402	-0.000000	239.364207	0.000000	4.0
403	-0.329000	239.079136	0.006283	4.3
404	-1.615566	238.794969	0.007720	4.3
405	-1.078885	238.511701	0.012694	4.4
406	-0.563935	238.229327	0.012116	4.5
407	-0.000000	237.947843	0.000000	4.2
408	-0.165444	237.667244	0.005318	4.3
409	-1.086156	237.387526	0.008988	4.1
410	-0.907726	237.108684	0.011528	4.5
411	-0.000000	236.830714	0.000000	4.1
412	-0.553706	236.553610	0.008581	3.4
413	-0.444227	236.277370	0.022020	3.9
414	-1.120199	236.001989	0.010963	4.5
415	-0.628231	235.727461	0.012067	3.7
416	-0.964405	235.453784	0.010069	4.5
417	-0.596406	235.180952	0.006464	4.5
418	-0.465912	234.908962	0.008342	5.1
419	-0.576557	234.637809	0.011127	4.5
420	-1.066504	234.367488	0.005781	4.9
421	-0.964375	234.097997	0.010022	5.6
422	-1.299117	233.829331	0.011207	4.9
423	-1.252523	233.561485	0.009611	5.0
424	-0.576740	233.294456	0.007151	5.2
425	-1.464319	233.028239	0.010346	4.4
426	-0.984437	232.762831	0.007899	4.3
427	-0.000000	232.498228	0.000000	5.0
428	-0.516845	232.234425	0.004574	4.6
429	-1.185862	231.971419	0.008891	4.6
430	-1.200863	231.709205	0.006869	4.7
431	-0.384013	231.447781	0.011948	4.5
432	-1.032484	231.187141	0.015452	4.4
433	-0.070885	230.927283	0.002735	5.0
434	-0.846010	230.668202	0.007952	4.7
435	-0.000000	230.409895	0.000000	4.7
436	-0.035889	230.152358	0.001639	5.1
437	-0.698431	229.895587	0.007934	4.7
438	-1.353956	229.639578	0.006885	5.2
439	-0.906128	229.384329	0.011959	4.8
440	-0.137511	229.129834	0.003624	3.9
441	-1.252846	228.876091	0.008010	4.8
442	-0.000000	228.623096	0.000000	5.4
443	-0.785049	228.370846	0.006321	5.1
444	-0.000150	228.119336	0.000027	4.8
445	-0.000001	227.868563	0.000000	4.7
446	-0.323885	227.618525	0.008575	4.7
447	-1.002460	227.369216	0.012837	4.4
448	-1.174832	227.120635	0.005663	4.5
449	-0.051768	226.872777	0.001837	4.1
450	-0.283580	226.625638	0.005284	3.8
451	-0.828695	226.379217	0.011998	4.4
452	-0.765372	226.133509	0.006799	4.1
453	-0.000000	225.888510	0.000000	4.5
454	-0.032120	225.644218	0.001734	4.3
455	-0.185483	225.400630	0.004645	4.2
456	-0.871348	225.157741	0.011402	3.6
457	-0.510085	224.915549	0.008120	4.4
458	-0.137164	224.674051	0.002337	4.6
459	-0.907431	224.433242	0.005626	4.2
460	-0.649064	224.193121	0.005224	4.2
461	-0.000000	223.953684	0.000000	4.9
462	-0.766706	223.714927	0.006559	3.8
463	-0.796624	223.476848	0.006928	4.2
464	-0.325022	223.239444	0.013169	4.6
465	-0.546860	223.002710	0.013084	4.8
466	-1.171429	222.766645	0.006911	5.1
467	-0.952748	222.531245	0.012912	5.1
468	-1.205510	222.296508	0.008578	5.4
469	-1.487150	222.062429	0.009884	4.0
470	-0.768846	221.829007	0.012994	4.8
471	-1.420359	221.596238	0.013791	6.1
472	-0.610951	221.364119	0.007104	5.2
473	-0.468326	221.132647	0.006692	5.2
474	-1.299133	220.901820	0.003343	5.0
475	-0.000000	220.671634	0.000000	4.6
476	-1.228341	220.442086	0.008186	5.6
477	-0.870676	220.213174	0.009348	4.5
478	-0.805068	219.984895	0.009667	4.5
479	-1.093726	219.757246	0.008365	4.7
480	-1.286353	219.530224	0.011428	4.9
481	-1.010725	219.303826	0.007195	4.7
482	-0.420819	219.078050	0.007859	3.3
483	-0.005401	218.852893	0.000545	4.9
484	-1.375662	218.628352	0.013116	5.0
485	-1.294758	218.404424	0.010578	4.7
486	-0.829705	218.181106	0.007345	3.5
487	-1.280415	217.958397	0.007052	4.2
488	-0.033349	217.736292	0.001075	4.8
489	-1.083756	217.514790	0.007457	4.9
490	-0.532510	217.293888	0.006262	5.7
491	-1.108507	217.073584	0.013667	5.1
492	-0.015080	216.853873	0.000748	5.0
493	-0.000000	216.634755	0.000000	5.6
494	-1.341971	216.416227	0.009979	4.8
495	-0.247816	216.198285	0.003972	5.2
496	-0.000000	215.980927	0.000000	7.4
497	-0.735759	215.764151	0.008637	4.5
498	-0.017097	215.547955	0.001027	4.5
499	-0.205727	215.332335	0.005277	5.0
500	-0.659360	215.117289	0.006780	4.1
501	-1.386479	214.902815	0.014554	4.1
502	-0.926162	214.688911	0.011658	4.4
503	-1.148985	214.475573	0.008929	4.7
504	-0.151924	214.262800	0.002878	4.1
505	-1.316637	214.050588	0.009618	4.2
506	-0.575890	213.838936	0.007733	4.7
507	-0.051960	213.627842	0.002748	4.6
508	-0.091196	213.417302	0.002427	4.1
509	-0.834277	213.207314	0.003722	4.6
510	-1.355199	212.997877	0.005488	5.6
511	-0.928872	212.788987	0.011792	4.2
512	-0.103680	212.580642	0.001775	4.6
513	-0.372049	212.372841	0.018109	4.0
514	-0.417799	212.165581	0.008101	3.0
515	-0.000000	211.958859	0.000000	5.1
516	-0.607042	211.752673	0.006040	4.2
517	-1.125991	211.547021	0.014573	4.1
518	-1.123924	211.341902	0.011645	4.2
519	-0.891884	211.137311	0.007785	4.8
520	-1.284644	210.933248	0.010335	4.1
521	-0.131343	210.729710	0.002814	4.3
522	-0.000434	210.526695	0.000076	4.4
523	-1.274417	210.324200	0.012370	4.6
524	-1.577734	210.122224	0.006711	4.2
525	-1.477964	209.920765	0.012374	4.3
526	-0.630554	209.719820	0.014579	4.2
527	-1.395364	209.519387	0.009171	4.2
528	-0.000000	209.319463	0.000000	3.4
529	-1.326650	209.120048	0.007623	4.1
530	-0.315533	208.921139	0.004066	4.4
531	-0.353504	208.722733	0.004972	4.3
532	-1.464352	208.524829	0.019460	3.9
533	-1.305899	208.327425	0.011725	4.1
534	-1.112136	208.130518	0.010659	5.1
535	-0.130045	207.934107	0.002317	4.8
536	-0.000000	207.738189	0.000000	4.7
537	-0.000000	207.542762	0.000000	4.8
538	-0.701887	207.347825	0.007925	4.9
539	-0.159167	207.153376	0.003009	4.8
540	-0.210756	206.959412	0.003976	4.4
541	-0.769667	206.765932	0.008008	5.0
542	-0.053092	206.572933	0.002227	4.5
543	-0.838448	206.380414	0.004521	3.9
544	-0.000000	206.188373	0.000000	5.1
545	-1.167768	205.996807	0.006237	4.5
546	-1.425601	205.805716	0.006316	4.1
547	-0.000000	205.615096	0.000000	4.7
548	-0.659098	205.424946	0.007471	5.3
549	-1.061109	205.235265	0.006469	4.6
550	-0.295783	205.046050	0.004614	5.7
551	-0.905258	204.857299	0.003540	4.7
552	-1.274106	204.669011	0.014850	4.6
553	-1.123469	204.481184	0.015826	4.8
554	-1.465388	204.293816	0.016088	4.3
555	-0.410948	204.106905	0.006204	4.4
556	-0.811887	203.920449	0.010439	4.8
557	-0.936745	203.734447	0.005043	5.0
558	-0.000000	203.548896	0.000000	4.8
559	-0.000000	203.363795	0.000000	4.8
560	-0.611873	203.179143	0.004880	5.1
561	-1.015235	202.994937	0.007932	3.9
562	-0.911787	202.811176	0.015331	4.7
563	-1.212429	202.627857	0.012759	5.1
564	-1.267328	202.444980	0.010249	4.9
565	-0.423319	202.262543	0.005565	4.9
566	-1.557759	202.080543	0.031750	5.0
567	-1.363358	201.898979	0.009595	4.3
568	-0.104433	201.717849	0.003847	4.4
